AR   ,A 
DE   ,MV 
DE   ,NI 
DE   ,NW 
DE   ,RP 
DE   ,SH 
DE   ,SL 
DE   ,SN 
DE   ,ST 
DE   ,TH 
GR   ,1
GR   ,3
GR   ,4
GR   ,5
GR   ,6
GR   ,7
GR   ,11
GR   ,12
GR   ,13
GR   ,14
GR   ,15
GR   ,16
GR   ,17
GR   ,21
GR   ,22
GR   ,23
GR   ,24
GR   ,31
GR   ,32
GR   ,33
GR   ,34
GR   ,41
GR   ,42
GR   ,43
GR   ,44
GR   ,51
GR   ,52
GR   ,53
GR   ,54
GR   ,55
GR   ,56
GR   ,57
GR   ,58
GR   ,59
GR   ,61
GR   ,62
GR   ,63
GR   ,64
GR   ,69
GR   ,71
GR   ,72
GR   ,73
GR   ,81
GR   ,82
GR   ,83
GR   ,84
GR   ,85
GR   ,91
GR   ,92
GR   ,93
GR   ,94
GR   ,A1 
HU   ,BA 
HU   ,BC 
HU   ,BE 
HU   ,BK 
HU   ,BU 
HU   ,BZ 
HU   ,CS 
HU   ,DE 
HU   ,DU 
HU   ,EG 
HU   ,FE 
HU   ,GS 
HU   ,GY 
HU   ,HB 
HU   ,HE 
HU   ,HV 
HU   ,JN 
HU   ,KE 
HU   ,KM 
HU   ,KV 
HU   ,MI 
HU   ,NK 
HU   ,NO 
HU   ,NY 
HU   ,PE 
HU   ,PS 
HU   ,SD 
HU   ,SF 
HU   ,SH 
HU   ,SK 
HU   ,SN 
HU   ,SO 
HU   ,SS 
HU   ,ST 
HU   ,SZ 
HU   ,TB 
HU   ,TO 
HU   ,VA 
HU   ,VE 
HU   ,VM 
HU   ,ZA 
HU   ,ZE 
IN   ,AN 
IN   ,AP 
IN   ,AR 
IN   ,AS 
IN   ,BR 
IN   ,CH 
IN   ,CT 
IN   ,DD 
IN   ,DL 
IN   ,DN 
IN   ,GA 
IN   ,GJ 
IN   ,HP 
IN   ,HR 
IN   ,JH 
IN   ,JK 
IN   ,KA 
IN   ,KL 
IN   ,LD 
IN   ,MH 
IN   ,ML 
IN   ,MN 
IN   ,MP 
IN   ,MZ 
IN   ,NL 
IN   ,OR 
IN   ,PB 
IN   ,PY 
IN   ,RJ 
IN   ,SK 
IN   ,TN 
IN   ,TR 
IN   ,UP 
IN   ,WB 
ID   ,AC 
ID   ,BA 
ID   ,BB 
ID   ,BE 
ID   ,BT 
ID   ,GO 
ID   ,JA 
ID   ,JB 
ID   ,JI 
ID   ,JK 
ID   ,JT 
ID   ,KB 
ID   ,KI 
ID   ,KR 
ID   ,KS 
ID   ,KT 
ID   ,LA 
ID   ,MA 
ID   ,MU 
ID   ,NB 
ID   ,NT 
ID   ,PA 
ID   ,PB 
ID   ,PB 
ID   ,RI 
ID   ,SA 
ID   ,SB 
ID   ,SG 
ID   ,SN 
ID   ,SS 
ID   ,ST 
ID   ,SU 
ID   ,YO 
IE   ,CE 
IE   ,CN 
IE   ,CO 
IE   ,CW 
IE   ,D 
IE   ,DL 
IE   ,G 
IE   ,KE 
IE   ,KK 
IE   ,KY 
IE   ,LD 
IE   ,LH 
IE   ,LK 
IE   ,LM 
IE   ,LS 
IE   ,MH 
IE   ,MN 
IE   ,MO 
IE   ,OY 
IE   ,RN 
IE   ,SO 
IE   ,TA 
IE   ,WD 
IE   ,WH 
IE   ,WW 
IE   ,WX 
IL   ,D 
IL   ,HA 
IL   ,JM 
IL   ,M 
IL   ,TA 
IL   ,Z 
IT   ,AG 
IT   ,AL 
IT   ,AN 
IT   ,AO 
IT   ,AP 
IT   ,AQ 
IT   ,AR 
IT   ,AT 
IT   ,AV 
IT   ,BA 
IT   ,BG 
IT   ,BI 
IT   ,BL 
IT   ,BN 
IT   ,BO 
IT   ,BR 
IT   ,BS 
IT   ,BT 
IT   ,BZ 
IT   ,CA 
IT   ,CB 
IT   ,CE 
IT   ,CH 
IT   ,CI 
IT   ,CL 
IT   ,CN 
IT   ,CO 
IT   ,CR 
IT   ,CS 
IT   ,CT 
IT   ,CZ 
IT   ,EN 
IT   ,FC 
IT   ,FE 
IT   ,FG 
IT   ,FI 
IT   ,FM 
IT   ,FR 
IT   ,GE 
IT   ,GO 
IT   ,GR 
IT   ,IM 
IT   ,IS 
IT   ,KR 
IT   ,LC 
IT   ,LE 
IT   ,LI 
IT   ,LO 
IT   ,LT 
IT   ,LU 
IT   ,MB 
IT   ,MC 
IT   ,ME 
IT   ,MI 
IT   ,MN 
IT   ,MO 
IT   ,MS 
IT   ,MT 
IT   ,NA 
IT   ,NO 
IT   ,NU 
IT   ,OG 
IT   ,OR 
IT   ,OT 
IT   ,PA 
IT   ,PC 
IT   ,PD 
IT   ,PE 
IT   ,PG 
IT   ,PI 
IT   ,PN 
IT   ,PO 
IT   ,PR 
IT   ,PT 
IT   ,PU 
IT   ,PV 
IT   ,PZ 
IT   ,RA 
IT   ,RC 
IT   ,RE 
IT   ,RG 
IT   ,RI 
IT   ,RM 
IT   ,RN 
IT   ,RO 
IT   ,SA 
IT   ,SI 
IT   ,SO 
IT   ,SP 
IT   ,SR 
IT   ,SS 
IT   ,SV 
IT   ,TA 
IT   ,TE 
IT   ,TN 
IT   ,TO 
IT   ,TP 
IT   ,TR 
IT   ,TS 
IT   ,TV 
IT   ,UD 
IT   ,VA 
IT   ,VB 
IT   ,VC 
IT   ,VE 
IT   ,VI 
IT   ,VR 
IT   ,VS 
IT   ,VT 
IT   ,VV 
JP   ,1
JP   ,2
JP   ,3
JP   ,4
JP   ,5
JP   ,6
JP   ,7
JP   ,8
JP   ,9
JP   ,10
JP   ,11
JP   ,12
JP   ,13
JP   ,14
JP   ,15
JP   ,16
JP   ,17
JP   ,18
JP   ,19
JP   ,20
JP   ,21
JP   ,22
JP   ,23
JP   ,24
JP   ,25
JP   ,26
JP   ,27
JP   ,28
JP   ,29
JP   ,30
JP   ,31
JP   ,32
JP   ,33
JP   ,34
JP   ,35
JP   ,36
JP   ,37
JP   ,38
JP   ,39
JP   ,40
JP   ,41
JP   ,42
JP   ,43
JP   ,44
JP   ,45
JP   ,46
JP   ,47
KW   ,AH 
KW   ,FA 
KW   ,HA 
KW   ,JA 
KW   ,KU 
KW   ,MU 
LU   ,D 
LU   ,G 
LU   ,L 
MY   ,1
MY   ,2
MY   ,3
MY   ,4
MY   ,5
MY   ,6
MY   ,7
MY   ,8
MY   ,9
MY   ,10
MY   ,11
MY   ,12
MY   ,13
MY   ,14
MY   ,15
MY   ,16
MX   ,AGU 
MX   ,BCN 
MX   ,BCS 
MX   ,CAM 
MX   ,CHH 
MX   ,CHP 
MX   ,COA 
MX   ,COL 
MX   ,DIF 
MX   ,DUR 
MX   ,GRO 
MX   ,GUA 
MX   ,HID 
MX   ,JAL 
MX   ,MEX 
MX   ,MIC 
MX   ,MOR 
MX   ,NAY 
MX   ,NLE 
MX   ,OAX 
MX   ,PUE 
MX   ,QUE 
MX   ,ROO 
MX   ,SIN 
MX   ,SLP 
MX   ,SON 
MX   ,TAB 
MX   ,TAM 
MX   ,TLA 
MX   ,VER 
MX   ,YUC 
MX   ,ZAC 
MA   ,1
MA   ,2
MA   ,3
MA   ,4
MA   ,5
MA   ,6
MA   ,7
MA   ,8
MA   ,9
MA   ,10
MA   ,11
MA   ,12
MA   ,13
MA   ,14
MA   ,15
MA   ,16
MA   ,AGD 
MA   ,AOU 
MA   ,CAS 
MA   ,FAH 
MA   ,FES 
MA   ,INE 
MA   ,MEK 
MA   ,MMD 
MA   ,MMN 
MA   ,MOH 
MA   ,OUJ 
MA   ,RAB 
MA   ,SAL 
MA   ,SKH 
MA   ,SYB 
MA   ,TET 
MA   ,TNG 
MA   ,ASZ 
MA   ,AZI 
MA   ,BEM 
MA   ,BER 
MA   ,BES 
MA   ,BOD 
MA   ,BOM 
MA   ,CHE 
MA   ,CHI 
MA   ,CHT 
MA   ,ERR 
MA   ,ESI 
MA   ,ESM 
MA   ,FIG 
MA   ,GUE 
MA   ,HAJ 
MA   ,HAO 
MA   ,HOC 
MA   ,IFR 
MA   ,JDI 
MA   ,JRA 
MA   ,KEN 
MA   ,KES 
MA   ,KHE 
MA   ,KHN 
MA   ,KHO 
MA   ,LAA 
MA   ,LAR 
MA   ,MED 
MA   ,MOU 
MA   ,NAD 
MA   ,NOU 
MA   ,OUA 
MA   ,OUD 
MA   ,SAF 
MA   ,SEF 
MA   ,SET 
MA   ,SIK 
MA   ,TAI 
MA   ,TAO 
MA   ,TAR 
MA   ,TAT 
MA   ,TAZ 
MA   ,TIZ 
MA   ,TNT 
MA   ,ZAG 
NL   ,DR 
NL   ,FL 
NL   ,FR 
NL   ,GE 
NL   ,GR 
NL   ,LI 
NL   ,NB 
NL   ,NH 
NL   ,OV 
NL   ,UT 
NL   ,ZE 
NL   ,ZH 
NZ   ,AUK 
NZ   ,BOP 
NZ   ,CAN 
NZ   ,CIT 
NZ   ,GIS 
NZ   ,HKB 
NZ   ,MBH 
NZ   ,MWT 
NZ   ,NSN 
NZ   ,NTL 
NZ   ,OTA 
NZ   ,STL 
NZ   ,TAS 
NZ   ,TKI 
NZ   ,WGN 
NZ   ,WKO 
NZ   ,WTC 
NG   ,AB 
NG   ,AD 
NG   ,AK 
NG   ,AN 
NG   ,BA 
NG   ,BE 
NG   ,BO 
NG   ,BY 
NG   ,CR 
NG   ,DE 
NG   ,EB 
NG   ,ED 
NG   ,EK 
NG   ,EN 
NG   ,FC 
NG   ,GO 
NG   ,IM 
NG   ,JI 
NG   ,KD 
NG   ,KE 
NG   ,KN 
NG   ,KO 
NG   ,KT 
NG   ,KW 
NG   ,LA 
NG   ,NA 
NG   ,NI 
NG   ,OG 
NG   ,ON 
NG   ,OS 
NG   ,OY 
NG   ,PL 
NG   ,RI 
NG   ,SO 
NG   ,TA 
NG   ,YO 
NG   ,ZA 
NO   ,1
NO   ,2
NO   ,3
NO   ,4
NO   ,5
NO   ,6
NO   ,7
NO   ,8
NO   ,9
NO   ,10
NO   ,11
NO   ,12
NO   ,14
NO   ,15
NO   ,16
NO   ,17
NO   ,18
NO   ,19
NO   ,20
OM   ,BU 
OM   ,MA 
OM   ,MU 
OM   ,ZU 
OM   ,BA 
OM   ,DA 
OM   ,SH 
OM   ,WU 
OM   ,ZA 
PK   ,IS 
PK   ,GB 
PK   ,JK 
PK   ,BA 
PK   ,KP 
PK   ,PB 
PK   ,SD 
PK   ,TA 
PA   ,EM 
PA   ,KY 
PA   ,NB 
PA   ,1
PA   ,2
PA   ,3
PA   ,4
PA   ,5
PA   ,6
PA   ,7
PA   ,8
PA   ,9
PE   ,CAL 
PE   ,AMA 
PE   ,ANC 
PE   ,APU 
PE   ,ARE 
PE   ,AYA 
PE   ,CAJ 
PE   ,CUS 
PE   ,HUC 
PE   ,HUV 
PE   ,ICA 
PE   ,JUN 
PE   ,LAL 
PE   ,LAX 
PE   ,LIM 
PE   ,LOR 
PE   ,MDD 
PE   ,MOQ 
PE   ,PAS 
PE   ,PIU 
PE   ,PUN 
PE   ,SAM 
PE   ,TAC 
PE   ,TUM 
PE   ,UCA 
PE   ,LMA 
PH   ,ABR 
PH   ,AGN 
PH   ,AGS 
PH   ,AKL 
PH   ,ALB 
PH   ,ANT 
PH   ,APA 
PH   ,AUR 
PH   ,BAN 
PH   ,BAS 
PH   ,BEN 
PH   ,BIL 
PH   ,BOH 
PH   ,BTG 
PH   ,BTN 
PH   ,BUK 
PH   ,BUL 
PH   ,CAG 
PH   ,CAM 
PH   ,CAN 
PH   ,CAP 
PH   ,CAS 
PH   ,CAT 
PH   ,CAV 
PH   ,CEB 
PH   ,COM 
PH   ,DAO 
PH   ,DAS 
PH   ,DAV 
PH   ,DIN 
PH   ,EAS 
PH   ,GUI 
PH   ,IFU 
PH   ,ILI 
PH   ,ILN 
PH   ,ILS 
PH   ,ISA 
PH   ,KAL 
PH   ,LAG 
PH   ,LAN 
PH   ,LAS 
PH   ,LEY 
PH   ,LUN 
PH   ,MAD 
PH   ,MAG 
PH   ,MAS 
PH   ,MDC 
PH   ,MDR 
PH   ,MOU 
PH   ,MSC 
PH   ,MSR 
PH   ,NCO 
PH   ,NEC 
PH   ,NER 
PH   ,NSA 
PH   ,NUE 
PH   ,NUV 
PH   ,PAM 
PH   ,PAN 
PH   ,PLW 
PH   ,QUE 
PH   ,QUI 
PH   ,RIZ 
PH   ,ROM 
PH   ,SAR 
PH   ,SCO 
PH   ,SIG 
PH   ,SLE 
PH   ,SLU 
PH   ,SOR 
PH   ,SUK 
PH   ,SUN 
PH   ,SUR 
PH   ,TAR 
PH   ,TAW 
PH   ,WSA 
PH   ,ZAN 
PH   ,ZAS 
PH   ,ZMB 
PH   ,ZSI 
PL   ,DS 
PL   ,KP 
PL   ,LB 
PL   ,LD 
PL   ,LU 
PL   ,MA 
PL   ,MZ 
PL   ,OP 
PL   ,PD 
PL   ,PK 
PL   ,PM 
PL   ,SK 
PL   ,SL 
PL   ,WN 
PL   ,WP 
PL   ,ZP 
PT   ,1
PT   ,2
PT   ,3
PT   ,4
PT   ,5
PT   ,6
PT   ,7
PT   ,8
PT   ,9
PT   ,10
PT   ,11
PT   ,12
PT   ,13
PT   ,14
PT   ,15
PT   ,16
PT   ,17
PT   ,18
PT   ,20
PT   ,30
QA   ,DA 
QA   ,KH 
QA   ,MS 
QA   ,RA 
QA   ,US 
QA   ,WA 
QA   ,ZA 
RO   ,AB 
RO   ,AG 
RO   ,AR 
RO   ,B 
RO   ,BC 
RO   ,BH 
RO   ,BN 
RO   ,BR 
RO   ,BT 
RO   ,BV 
RO   ,BZ 
RO   ,CJ 
RO   ,CL 
RO   ,CS 
RO   ,CT 
RO   ,CV 
RO   ,DB 
RO   ,DJ 
RO   ,GJ 
RO   ,GL 
RO   ,GR 
RO   ,HD 
RO   ,HR 
RO   ,IF 
RO   ,IL 
RO   ,IS 
RO   ,MH 
RO   ,MM 
RO   ,MS 
RO   ,NT 
RO   ,OT 
RO   ,PH 
RO   ,SB 
RO   ,SJ 
RO   ,SM 
RO   ,SV 
RO   ,TL 
RO   ,TM 
RO   ,TR 
RO   ,VL 
RO   ,VN 
RO   ,VS 
RU   ,AMU 
RU   ,ARK 
RU   ,AST 
RU   ,BEL 
RU   ,BRY 
RU   ,CHE 
RU   ,IRK 
RU   ,IVA 
RU   ,KEM 
RU   ,KGD 
RU   ,KGN 
RU   ,KIR 
RU   ,KLU 
RU   ,KOS 
RU   ,KRS 
RU   ,LEN 
RU   ,LIP 
RU   ,MAG 
RU   ,MOS 
RU   ,MUR 
RU   ,NGR 
RU   ,NIZ 
RU   ,NVS 
RU   ,OMS 
RU   ,ORE 
RU   ,ORL 
RU   ,PNZ 
RU   ,PSK 
RU   ,ROS 
RU   ,RYA 
RU   ,SAK 
RU   ,SAM 
RU   ,SAR 
RU   ,SMO 
RU   ,SVE 
RU   ,TAM 
RU   ,TOM 
RU   ,TUL 
RU   ,TVE 
RU   ,TYU 
RU   ,ULY 
RU   ,VGG 
RU   ,VLA 
RU   ,VLG 
RU   ,VOR 
RU   ,YAR 
RU   ,ALT 
RU   ,KAM 
RU   ,KDA 
RU   ,KHA 
RU   ,KYA 
RU   ,PER 
RU   ,PRI 
RU   ,STA 
RU   ,ZAB 
RU   ,MOW 
RU   ,SPE 
RU   ,CHU 
RU   ,KHM 
RU   ,NEN 
RU   ,YAN 
RU   ,YEV 
SA   ,1
SA   ,2
SA   ,3
SA   ,4
SA   ,5
SA   ,6
SA   ,7
SA   ,8
SA   ,9
SA   ,10
SA   ,11
SA   ,12
SA   ,14
SG   ,1
SG   ,2
SG   ,3
SG   ,4
SG   ,5
ZA   ,EC 
ZA   ,FS 
ZA   ,GT 
ZA   ,LP 
ZA   ,MP 
ZA   ,NC 
ZA   ,NL 
ZA   ,NW 
ZA   ,WC 
ES   ,A 
ES   ,AB 
ES   ,AL 
ES   ,AV 
ES   ,B 
ES   ,BA 
ES   ,BI 
ES   ,BU 
ES   ,C 
ES   ,CA 
ES   ,CC 
ES   ,CE 
ES   ,CO 
ES   ,CR 
ES   ,CS 
ES   ,CU 
ES   ,GC 
ES   ,GI 
ES   ,GR 
ES   ,GU 
ES   ,H 
ES   ,HU 
ES   ,J 
ES   ,L 
ES   ,LE 
ES   ,LO 
ES   ,LU 
ES   ,M 
ES   ,MA 
ES   ,ML 
ES   ,MU 
ES   ,NA 
ES   ,O 
ES   ,OR 
ES   ,P 
ES   ,PM 
ES   ,PO 
ES   ,S 
ES   ,SA 
ES   ,SE 
ES   ,SG 
ES   ,SO 
ES   ,SS 
ES   ,T 
ES   ,TE 
ES   ,TF 
ES   ,TO 
ES   ,V 
ES   ,VA 
ES   ,VI 
ES   ,Z 
ES   ,ZA 
SE   ,AB 
SE   ,AC 
SE   ,BD 
SE   ,C 
SE   ,D 
SE   ,E 
SE   ,F 
SE   ,G 
SE   ,H 
SE   ,I 
SE   ,K 
SE   ,M 
SE   ,N 
SE   ,O 
SE   ,S 
SE   ,T 
SE   ,U 
SE   ,W 
SE   ,X 
SE   ,Y 
SE   ,Z 
CH   ,AG 
CH   ,AI 
CH   ,AR 
CH   ,BE 
CH   ,BL 
CH   ,BS 
CH   ,FR 
CH   ,GE 
CH   ,GL 
CH   ,GR 
CH   ,JU 
CH   ,LU 
CH   ,NE 
CH   ,NW 
CH   ,OW 
CH   ,SG 
CH   ,SH 
CH   ,SO 
CH   ,SZ 
CH   ,TG 
CH   ,TI 
CH   ,UR 
CH   ,VD 
CH   ,VS 
CH   ,ZG 
CH   ,ZH 
TW   ,CHA 
TW   ,CYQ 
TW   ,HSZQ 
TW   ,HUA 
TW   ,ILA 
TW   ,KHQ 
TW   ,MIA 
TW   ,NAN 
TW   ,PEN 
TW   ,PIF 
TW   ,TAO 
TW   ,TNQ 
TW   ,TPQ 
TW   ,TTT 
TW   ,TXQ 
TW   ,YUN 
TW   ,CYI 
TW   ,HSZ 
TW   ,KEE 
TW   ,TNN 
TW   ,TXG 
TW   ,KHH 
TW   ,TPE 
TH   ,10
TH   ,11
TH   ,12
TH   ,13
TH   ,14
TH   ,15
TH   ,16
TH   ,17
TH   ,18
TH   ,19
TH   ,20
TH   ,21
TH   ,22
TH   ,23
TH   ,24
TH   ,25
TH   ,26
TH   ,27
TH   ,30
TH   ,31
TH   ,32
TH   ,33
TH   ,34
TH   ,35
TH   ,36
TH   ,37
TH   ,39
TH   ,40
TH   ,41
TH   ,42
TH   ,43
TH   ,44
TH   ,45
TH   ,46
TH   ,47
TH   ,48
TH   ,49
TH   ,50
TH   ,51
TH   ,52
TH   ,53
TH   ,54
TH   ,55
TH   ,56
TH   ,57
TH   ,58
TH   ,60
TH   ,61
TH   ,62
TH   ,63
TH   ,64
TH   ,65
TH   ,66
TH   ,67
TH   ,70
TH   ,71
TH   ,72
TH   ,73
TH   ,74
TH   ,75
TH   ,76
TH   ,77
TH   ,80
TH   ,81
TH   ,82
TH   ,83
TH   ,84
TH   ,85
TH   ,86
TH   ,90
TH   ,91
TH   ,92
TH   ,93
TH   ,94
TH   ,95
TH   ,96
TH   ,S  
TR   ,1
TR   ,2
TR   ,3
TR   ,4
TR   ,5
TR   ,6
TR   ,7
TR   ,8
TR   ,9
TR   ,10
TR   ,11
TR   ,12
TR   ,13
TR   ,14
TR   ,15
TR   ,16
TR   ,17
TR   ,18
TR   ,19
TR   ,20
TR   ,21
TR   ,22
TR   ,23
TR   ,24
TR   ,25
TR   ,26
TR   ,27
TR   ,28
TR   ,29
TR   ,30
TR   ,31
TR   ,32
TR   ,33
TR   ,34
TR   ,35
TR   ,36
TR   ,37
TR   ,38
TR   ,39
TR   ,40
TR   ,41
TR   ,42
TR   ,43
TR   ,44
TR   ,45
TR   ,46
TR   ,47
TR   ,48
TR   ,49
TR   ,50
TR   ,51
TR   ,52
TR   ,53
TR   ,54
TR   ,55
TR   ,56
TR   ,57
TR   ,58
TR   ,59
TR   ,60
TR   ,61
TR   ,62
TR   ,63
TR   ,64
TR   ,65
TR   ,66
TR   ,67
TR   ,68
TR   ,69
TR   ,70
TR   ,71
TR   ,72
TR   ,73
TR   ,74
TR   ,75
TR   ,76
TR   ,77
TR   ,78
TR   ,79
TR   ,80
TR   ,81
UA   ,5
UA   ,7
UA   ,9
UA   ,12
UA   ,14
UA   ,18
UA   ,21
UA   ,23
UA   ,26
UA   ,30
UA   ,32
UA   ,35
UA   ,40
UA   ,46
UA   ,48
UA   ,51
UA   ,53
UA   ,56
UA   ,59
UA   ,61
UA   ,63
UA   ,68
UA   ,71
UA   ,74
UA   ,77
UA   ,43
AE   ,AJ 
AE   ,AZ 
AE   ,DU 
AE   ,FU 
AE   ,RK 
AE   ,SH 
AE   ,UQ 
GB   ,ABD 
GB   ,ABE 
GB   ,AGB 
GB   ,AGY 
GB   ,ANS 
GB   ,ANT 
GB   ,ARD 
GB   ,ARM 
GB   ,BAS 
GB   ,BBD 
GB   ,BDF 
GB   ,BDG 
GB   ,BEN 
GB   ,BEX 
GB   ,BFS 
GB   ,BGE 
GB   ,BGW 
GB   ,BIR 
GB   ,BKM 
GB   ,BLA 
GB   ,BLY 
GB   ,BMH 
GB   ,BNB 
GB   ,BNE 
GB   ,BNH 
GB   ,BNS 
GB   ,BOL 
GB   ,BPL 
GB   ,BRC 
GB   ,BRD 
GB   ,BRY 
GB   ,BST 
GB   ,BUR 
GB   ,CAM 
GB   ,CAY 
GB   ,CBF 
GB   ,CGN 
GB   ,CGV 
GB   ,CHE 
GB   ,CHW 
GB   ,CKF 
GB   ,CKT 
GB   ,CLD 
GB   ,CLK 
GB   ,CLR 
GB   ,CMA 
